order_id,order_status,order_source,order_date,category,sku,quantity,sales,city
5447,Shipped,Whatsapp,2025-04-01,CK,Dng,1,1590,Karachi
14127,Shipped,Web,2025-08-01,CK,DIY,1,899,Karachi
14333,Shipped,Web,2025-05-02,CK,Simply9,1,990,Karachi
14325,Shipped,Web,2025-03-02,CK,Geo12,1,1090,Karachi
14356,Shipped,Web,2025-08-02,CK,Geo12,1,1090,Karachi
5462,Shipped,Whatsapp,2025-05-03,WD,Triangle,1,1090,Karachi
14342,Shipped,Web,2025-06-02,WD,Circles,1,1190,Karachi
14351,Shipped,Web,2025-07-02,CK,Minim12,1,1190,Karachi
14469,Shipped,Web,2025-12-03,HNS,201-12,1,1190,Karachi
14571,Shipped,Web,2025-03-04,HNS,201-12,1,1190,Karachi
14585,Shipped,Web,2025-06-04,HNS,201-12,1,1190,Karachi
14711,Shipped,Web,2025-02-05,HNS,201-12,1,1190,Karachi
14740,Shipped,Web,2025-12-05,HNS,201-12,1,1190,Karachi
14332,Shipped,Web,2025-05-02,CK,Zen12,1,1290,Karachi
14340,Shipped,Web,2025-05-02,CK,Zen12,1,1290,Karachi
14637,Shipped,Web,2025-12-04,CK,Zen12,1,1290,Karachi
14811,Shipped,Web,2025-06-06,HNS,201-12,1,1290,Karachi
14100,Shipped,Web,2025-04-01,CK,Geo15,1,1390,Karachi
14136,Shipped,Web,2025-11-01,HNS,201-12,1,1390,Karachi
14466,Shipped,Web,2025-09-03,HNS,201-12,1,1390,Karachi
14586,Shipped,Web,2025-06-04,HNS,201-12,1,1390,Karachi
5469,Shipped,Whatsapp,2025-08-04,HNS,201-12,1,1390,Karachi
14132,Shipped,Web,2025-09-01,CK,Minim15,1,1490,Karachi
14139,Shipped,Web,2025-11-01,CK,Minim15,1,1490,Karachi
14611,Shipped,Web,2025-09-04,HNS,101-12,1,1490,Karachi
14613,Shipped,Web,2025-09-04,HNS,101-12,1,1490,Karachi
5471,Shipped,Whatsapp,2025-09-04,HNS,201-12,1,1490,Karachi
14107,Shipped,Web,2025-04-01,CK,Dng,1,1590,Karachi
14109,Shipped,Web,2025-04-01,CK,Zen16,1,1590,Karachi
14120,Shipped,Web,2025-07-01,CK,Dng,1,1590,Karachi
14133,Shipped,Web,2025-09-01,CK,Dng,1,1590,Karachi
14153,Shipped,Web,2025-12-01,CK,Dng,1,1590,Karachi
14157,Shipped,Web,2025-12-01,CK,Dng,1,1590,Karachi
14336,Shipped,Web,2025-05-02,CK,Dng,1,1590,Karachi
14360,Shipped,Web,2025-09-02,CK,Dng,1,1590,Karachi
14599,Shipped,Web,2025-08-04,CK,YY16,1,1590,Karachi
14633,Shipped,Web,2025-11-04,CK,Zen16,1,1590,Karachi
14639,Shipped,Web,2025-12-04,HNS,201-15,1,1690,Karachi
14640,Shipped,Web,2025-12-04,HNS,201-15,1,1690,Karachi
14734,Shipped,Web,2025-11-05,HNS,201-15,1,1690,Karachi
14739,Shipped,Web,2025-12-05,HNS,201-15,1,1690,Karachi
14607,Shipped,Web,2025-09-04,HNS,101-12,1,1790,Karachi
14609,Shipped,Web,2025-09-04,HNS,101-12,1,1790,Karachi
14620,Shipped,Web,2025-10-04,HNS,101-12,1,1790,Karachi
14729,Shipped,Web,2025-09-05,HNS,101-12,1,1790,Karachi
14730,Shipped,Web,2025-09-05,HNS,101-12,1,1790,Karachi
14803,Shipped,Web,2025-02-06,HNS,101-12,1,1790,Karachi
14825,Shipped,Web,2025-09-06,HNS,101-12,1,1890,Karachi
14088,Shipped,Web,2025-02-01,HNS,201-15,1,1990,Karachi
